id,experience,skill,relation
1,.,design,EXPERIENCE_IN
2,1+ years,development,EXPERIENCE_IN
3,1+ years,Java stack,EXPERIENCE_IN
4,1+ years,AppConnect,EXPERIENCE_IN
5,1+ years,API,EXPERIENCE_IN
6,3+ years,productivity software tools,EXPERIENCE_IN
7,3+ years,modeling tools,EXPERIENCE_IN
8,3+ years,oral,EXPERIENCE_IN
9,3+ years,customer interaction,EXPERIENCE_IN
10,3+ years,Healthcare Information Systems,EXPERIENCE_IN
11,3+ years,Design,EXPERIENCE_IN
12,3+ years,Tech,EXPERIENCE_IN
13,3+ years,Prof,EXPERIENCE_IN
14,3+ years,software development,EXPERIENCE_IN
15,3+ years,.,EXPERIENCE_IN
16,.,productivity software tools,EXPERIENCE_IN
17,.,modeling tools,EXPERIENCE_IN
18,.,oral,EXPERIENCE_IN
19,.,written communication,EXPERIENCE_IN
20,.,customer interaction,EXPERIENCE_IN
21,.,Healthcare Information Systems,EXPERIENCE_IN
22,.,Practice Management,EXPERIENCE_IN
23,.,Design,EXPERIENCE_IN
24,.,Tech,EXPERIENCE_IN
25,.,Prof,EXPERIENCE_IN
26,.,software development,EXPERIENCE_IN
27,3 to 6 years,Capacity Planning,EXPERIENCE_IN
28,3 to 6 years,Supply planning,EXPERIENCE_IN
29,3 to 6 years,supply-demand balancing,EXPERIENCE_IN
30,3 to 6 years,supply planning,EXPERIENCE_IN
31,.,complex product,EXPERIENCE_IN
32,.,supply chain,EXPERIENCE_IN
33,3-5 years,integration,EXPERIENCE_IN
34,3-5 years,product development,EXPERIENCE_IN
35,3-5 years,integration,EXPERIENCE_IN
36,3-5 years,.,EXPERIENCE_IN
37,.,Oracle,EXPERIENCE_IN
38,8+ years,designing,EXPERIENCE_IN
39,8+ years,developing enterprise-level scale services/solutions,EXPERIENCE_IN
40,2+ years,designing secure,EXPERIENCE_IN
41,2+ years,PaaS services,EXPERIENCE_IN
42,2+ years,Microsoft Azure,EXPERIENCE_IN
43,2+ years,.,EXPERIENCE_IN
44,5+ years,delivering solutions,EXPERIENCE_IN
45,2+ years,delivering solutions,EXPERIENCE_IN
46,2+ years,managing,EXPERIENCE_IN
47,2+ years,leading highly technical teams,EXPERIENCE_IN
48,.,delivering solutions,EXPERIENCE_IN
49,.,managing,EXPERIENCE_IN
50,.,leading highly technical teams,EXPERIENCE_IN
51,Data Platform,Azure Core Platform,EXPERIENCE_IN
52,Data Platform,Azure DB,EXPERIENCE_IN
53,5+ years,Python,EXPERIENCE_IN
54,5+ years,Go,EXPERIENCE_IN
55,5+ years,C++,EXPERIENCE_IN
56,5+ years,.,EXPERIENCE_IN
57,7+ years,enterprise technology consulting,EXPERIENCE_IN
58,7+ years,direct customer,EXPERIENCE_IN
59,7+ years,SAP NetWeaver platform,EXPERIENCE_IN
60,7+ years,deployment,EXPERIENCE_IN
61,7+ years,transport management,EXPERIENCE_IN
62,7+ years,NetWeaver architecture,EXPERIENCE_IN
63,7+ years,DBMS,EXPERIENCE_IN
64,3+ years,deployment,EXPERIENCE_IN
65,3+ years,transport management,EXPERIENCE_IN
66,3+ years,NetWeaver architecture,EXPERIENCE_IN
67,3+ years,DBMS,EXPERIENCE_IN
68,3+ years,RDBMS,EXPERIENCE_IN
69,3+ years,performance query analysis,EXPERIENCE_IN
70,3+ years,sizing,EXPERIENCE_IN
71,3+ years,HA/DR,EXPERIENCE_IN
72,3+ years,storage/disk design,EXPERIENCE_IN
73,3+ years,HANA,EXPERIENCE_IN
74,3+ years,SQL Server,EXPERIENCE_IN
75,3+ years,Oracle,EXPERIENCE_IN
76,3+ years,Sybase,EXPERIENCE_IN
77,3+ years,DB2,EXPERIENCE_IN
78,3+ years,MaxDB,EXPERIENCE_IN
79,3+ years,SUSE,EXPERIENCE_IN
